audio_file,transcript_file,transcript_length,processing_time_seconds
69e4126124a34f38d0732741_audio_missing_utopia_1780199236475.webm,69e4126124a34f38d0732741_audio_missing_utopia_1780199236475_transcript.json,3329,63.495317
69e4126124a34f38d0732741_audio_ranking_explanation_1780198797604.webm,69e4126124a34f38d0732741_audio_ranking_explanation_1780198797604_transcript.json,5000,82.907328
69e4255d8aed7c574034e515_audio_missing_utopia_1780190651402.webm,69e4255d8aed7c574034e515_audio_missing_utopia_1780190651402_transcript.json,157,5.354432
69e4255d8aed7c574034e515_audio_ranking_explanation_1780190611696.webm,69e4255d8aed7c574034e515_audio_ranking_explanation_1780190611696_transcript.json,617,15.429547
69e7959ed48cfd369a5f0da5_audio_missing_utopia_1780154840735.webm,69e7959ed48cfd369a5f0da5_audio_missing_utopia_1780154840735_transcript.json,241,6.167591
69e7959ed48cfd369a5f0da5_audio_ranking_explanation_1780154807039.webm,69e7959ed48cfd369a5f0da5_audio_ranking_explanation_1780154807039_transcript.json,700,13.413291
69e7b09e471d548512e69bf9_audio_missing_utopia_1780192260023.webm,69e7b09e471d548512e69bf9_audio_missing_utopia_1780192260023_transcript.json,793,14.691037
69e7b09e471d548512e69bf9_audio_ranking_explanation_1780192091725.webm,69e7b09e471d548512e69bf9_audio_ranking_explanation_1780192091725_transcript.json,1748,26.218606
69efd6b0a093516b899d9ff2_audio_missing_utopia_1780198259961.webm,69efd6b0a093516b899d9ff2_audio_missing_utopia_1780198259961_transcript.json,396,7.194894
69efd6b0a093516b899d9ff2_audio_ranking_explanation_1780198217925.webm,69efd6b0a093516b899d9ff2_audio_ranking_explanation_1780198217925_transcript.json,662,11.142406
69f36e51c308822e1b3ea121_audio_missing_utopia_1780163332002.webm,69f36e51c308822e1b3ea121_audio_missing_utopia_1780163332002_transcript.json,3,4.275321
69f36e51c308822e1b3ea121_audio_ranking_explanation_1780163312203.webm,69f36e51c308822e1b3ea121_audio_ranking_explanation_1780163312203_transcript.json,4,4.343606
69f45c14285f90281ed9122f_audio_missing_utopia_1780171289731.webm,69f45c14285f90281ed9122f_audio_missing_utopia_1780171289731_transcript.json,556,10.409712
69f45c14285f90281ed9122f_audio_ranking_explanation_1780171225250.webm,69f45c14285f90281ed9122f_audio_ranking_explanation_1780171225250_transcript.json,1800,27.03451
69f663add8c27375de2ae11c_audio_missing_utopia_1780193742984.webm,69f663add8c27375de2ae11c_audio_missing_utopia_1780193742984_transcript.json,905,17.276421
69f663add8c27375de2ae11c_audio_ranking_explanation_1780193399724.webm,69f663add8c27375de2ae11c_audio_ranking_explanation_1780193399724_transcript.json,3556,71.486148
69f67debc343491ee99f43ef_audio_missing_utopia_1780182723211.webm,69f67debc343491ee99f43ef_audio_missing_utopia_1780182723211_transcript.json,956,17.971845
69f67debc343491ee99f43ef_audio_ranking_explanation_1780182525792.webm,69f67debc343491ee99f43ef_audio_ranking_explanation_1780182525792_transcript.json,832,16.898216
69fce5f3543a5fb23a96fd38_audio_missing_utopia_1780169406603.webm,69fce5f3543a5fb23a96fd38_audio_missing_utopia_1780169406603_transcript.json,982,17.836335
69fce5f3543a5fb23a96fd38_audio_ranking_explanation_1780169282539.webm,69fce5f3543a5fb23a96fd38_audio_ranking_explanation_1780169282539_transcript.json,582,10.170601
6a0158ba79527c0dc00b8153_audio_missing_utopia_1780200139424.webm,6a0158ba79527c0dc00b8153_audio_missing_utopia_1780200139424_transcript.json,866,14.811369
6a0158ba79527c0dc00b8153_audio_ranking_explanation_1780200032633.webm,6a0158ba79527c0dc00b8153_audio_ranking_explanation_1780200032633_transcript.json,1337,23.391284
6a01d4afbdb253690cf6bbfc_audio_missing_utopia_1780173577600.webm,6a01d4afbdb253690cf6bbfc_audio_missing_utopia_1780173577600_transcript.json,146,5.2375
6a01d4afbdb253690cf6bbfc_audio_ranking_explanation_1780173533132.webm,6a01d4afbdb253690cf6bbfc_audio_ranking_explanation_1780173533132_transcript.json,1301,21.409448
6a026b14fa26d03597f2dced_audio_missing_utopia_1780181953941.webm,6a026b14fa26d03597f2dced_audio_missing_utopia_1780181953941_transcript.json,301,6.205848
6a026b14fa26d03597f2dced_audio_ranking_explanation_1780181825018.webm,6a026b14fa26d03597f2dced_audio_ranking_explanation_1780181825018_transcript.json,392,8.766365
6a026e182e8f80652216c041_audio_missing_utopia_1780184515029.webm,6a026e182e8f80652216c041_audio_missing_utopia_1780184515029_transcript.json,467,9.834021
6a026e182e8f80652216c041_audio_ranking_explanation_1780184471353.webm,6a026e182e8f80652216c041_audio_ranking_explanation_1780184471353_transcript.json,1822,28.477497
6a037281ac6ad91fede2d14d_audio_missing_utopia_1780169839800.webm,6a037281ac6ad91fede2d14d_audio_missing_utopia_1780169839800_transcript.json,95,4.903522
6a037281ac6ad91fede2d14d_audio_ranking_explanation_1780169772339.webm,6a037281ac6ad91fede2d14d_audio_ranking_explanation_1780169772339_transcript.json,680,13.753805
6a04a5a7e230bb73b88bd6e6_audio_missing_utopia_1780155370357.webm,6a04a5a7e230bb73b88bd6e6_audio_missing_utopia_1780155370357_transcript.json,385,9.544359
6a04a5a7e230bb73b88bd6e6_audio_ranking_explanation_1780155314847.webm,6a04a5a7e230bb73b88bd6e6_audio_ranking_explanation_1780155314847_transcript.json,574,13.573861
6a06421377e1ca15fefe2378_audio_missing_utopia_1780186094215.webm,6a06421377e1ca15fefe2378_audio_missing_utopia_1780186094215_transcript.json,996,18.423946
6a06421377e1ca15fefe2378_audio_ranking_explanation_1780185968362.webm,6a06421377e1ca15fefe2378_audio_ranking_explanation_1780185968362_transcript.json,2249,41.873045
6a089cf8a4518f41f3a55ccd_audio_missing_utopia_1780204348476.webm,6a089cf8a4518f41f3a55ccd_audio_missing_utopia_1780204348476_transcript.json,908,19.833847
6a089cf8a4518f41f3a55ccd_audio_ranking_explanation_1780204200069.webm,6a089cf8a4518f41f3a55ccd_audio_ranking_explanation_1780204200069_transcript.json,2504,46.937663
6a0a21f0fcfb4aa7eb203b1e_audio_missing_utopia_1780190811440.webm,6a0a21f0fcfb4aa7eb203b1e_audio_missing_utopia_1780190811440_transcript.json,458,10.784024
6a0a21f0fcfb4aa7eb203b1e_audio_ranking_explanation_1780190748026.webm,6a0a21f0fcfb4aa7eb203b1e_audio_ranking_explanation_1780190748026_transcript.json,1835,29.484761
6a0a96921b2257d981246dcd_audio_missing_utopia_1780204730004.webm,6a0a96921b2257d981246dcd_audio_missing_utopia_1780204730004_transcript.json,167,5.360457
