json_file,audio_file,id_person,type,audio_duration_seconds,audio_size_bytes
comp-result_27167/files/audio_ranking_explanation_6a15dd57b7e983803cba4517_1780173823631.json,6a15dd57b7e983803cba4517_audio_ranking_explanation_1780173823631.webm,6a15dd57b7e983803cba4517,audio_ranking_explanation,48.288,776026
comp-result_27168/files/audio_missing_utopia_694c445f53e37c412593c79a_1780173049029.json,694c445f53e37c412593c79a_audio_missing_utopia_1780173049029.webm,694c445f53e37c412593c79a,audio_missing_utopia,32.095,516172
comp-result_27168/files/audio_ranking_explanation_694c445f53e37c412593c79a_1780172794196.json,694c445f53e37c412593c79a_audio_ranking_explanation_1780172794196.webm,694c445f53e37c412593c79a,audio_ranking_explanation,68.875,1108362
comp-result_27169/files/audio_missing_utopia_6a16449f33b17471b0d63c2e_1780172510100.json,6a16449f33b17471b0d63c2e_audio_missing_utopia_1780172510100.webm,6a16449f33b17471b0d63c2e,audio_missing_utopia,14.093,232933
comp-result_27169/files/audio_ranking_explanation_6a16449f33b17471b0d63c2e_1780172462391.json,6a16449f33b17471b0d63c2e_audio_ranking_explanation_1780172462391.webm,6a16449f33b17471b0d63c2e,audio_ranking_explanation,14.044,231937
comp-result_27170/files/audio_missing_utopia_6a18797c20c1b443234da878_1780172844583.json,6a18797c20c1b443234da878_audio_missing_utopia_1780172844583.webm,6a18797c20c1b443234da878,audio_missing_utopia,6.846,109454
comp-result_27170/files/audio_ranking_explanation_6a18797c20c1b443234da878_1780172835037.json,6a18797c20c1b443234da878_audio_ranking_explanation_1780172835037.webm,6a18797c20c1b443234da878,audio_ranking_explanation,8.282,132638
comp-result_27171/files/audio_missing_utopia_6a01d4afbdb253690cf6bbfc_1780173577600.json,6a01d4afbdb253690cf6bbfc_audio_missing_utopia_1780173577600.webm,6a01d4afbdb253690cf6bbfc,audio_missing_utopia,10.175,163550
comp-result_27171/files/audio_ranking_explanation_6a01d4afbdb253690cf6bbfc_1780173533132.json,6a01d4afbdb253690cf6bbfc_audio_ranking_explanation_1780173533132.webm,6a01d4afbdb253690cf6bbfc,audio_ranking_explanation,85.942,1383672
comp-result_27172/files/audio_missing_utopia_6a19d18f546496cf8a436e69_1780173195576.json,6a19d18f546496cf8a436e69_audio_missing_utopia_1780173195576.webm,6a19d18f546496cf8a436e69,audio_missing_utopia,15.34,246626
